City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
267,galveston,76.8,57,0,3.44,1740862129,US,-94.9669,29.3669
268,inebolu,41.0,84,88,3.29,1740862129,TR,33.7608,41.9747
269,motygino,4.21,99,100,0.83,1740862130,RU,94.7592,58.1831
270,mossel bay,68.4,90,15,6.29,1740862130,ZA,22.146,-34.1831
271,tromso,37.42,81,75,17.27,1740861832,NO,18.957,69.6496
272,belem de sao francisco,87.42,25,86,11.59,1740862130,BR,-38.9658,-8.7539
273,zaragoza,46.71,46,75,19.57,1740862076,ES,-0.8773,41.6561
274,jatai,77.14,74,0,6.98,1740862131,BR,-51.7144,-17.8814
275,kingston,85.15,62,75,11.5,1740861881,JM,-76.7936,17.997
276,bandarbeyla,76.26,75,55,9.01,1740862131,SO,50.8122,9.4942
277,upper grand lagoon,72.36,51,0,10.0,1740862132,US,-85.7408,30.1633
278,gaiman,80.8,14,7,13.38,1740862132,AR,-65.4929,-43.2897
279,thunder bay,15.71,48,20,13.8,1740862132,CA,-89.3168,48.4001
280,meadow lake,68.5,15,51,11.21,1740862132,US,-106.5436,34.8014
281,beau vallon,80.83,89,75,0.0,1740862132,MU,57.6953,-20.4189
282,wiesmoor,33.69,100,83,2.3,1740862133,DE,7.7333,53.4167
283,jemna,66.13,26,65,8.03,1740862133,TN,9.0147,33.5778
284,san isidro de curuguaty,95.88,30,94,3.31,1740862133,PY,-55.7,-24.5167
285,arno,34.41,88,100,7.34,1740862133,SE,18.6333,60.1167
286,tucumcari,66.04,19,0,6.91,1740862133,US,-103.725,35.1717
287,zhob,49.01,67,0,3.4,1740861855,PK,69.4481,31.3411
288,tazovsky,-19.41,97,96,9.08,1740862134,RU,78.7,67.4667
289,remire-montjoly,77.04,94,75,11.5,1740862135,GF,-52.2667,4.9167
290,karratha,86.86,66,0,8.48,1740862135,AU,116.8463,-20.7377
291,loango,79.43,83,100,7.4,1740862135,CG,11.8312,-4.6719
292,st. john's,32.02,66,20,12.66,1740861918,CA,-52.7093,47.5649
293,ebon,82.02,71,93,17.36,1740862136,MH,168.6964,4.582
294,yeraliyev,13.69,94,79,2.82,1740862136,KZ,51.65,43.2
295,kyzyl-suu,23.5,53,100,10.83,1740862136,KG,78.0056,42.3414
296,adigrat,59.85,74,31,4.16,1740862137,ET,39.462,14.277
297,punta alta,85.19,36,0,9.15,1740862083,AR,-62.0736,-38.8759
298,tonneins,42.42,76,4,8.12,1740862137,FR,0.3124,44.3921
299,shuangyang,16.65,50,93,9.28,1740862138,CN,125.6736,43.5242
300,vegreville,41.05,65,98,6.91,1740862138,CA,-112.0518,53.5001
301,nytva,24.1,96,100,6.06,1740862138,RU,55.334,57.9404
302,casper,60.1,16,0,14.97,1740862138,US,-106.3131,42.8666
303,berbera,74.89,83,0,4.59,1740862139,SO,45.0143,10.4396
304,afaahiti,80.58,76,86,14.76,1740862139,PF,-149.2833,-17.75
305,ancud,59.07,79,57,15.95,1740862094,CL,-73.8203,-41.8697
306,sloviansk,20.17,86,89,4.29,1740862140,UA,37.6167,48.8667
307,clarksdale,64.38,39,45,16.11,1740862140,US,-90.5709,34.2001
308,san pedro pochutla,90.72,43,33,7.96,1740862140,MX,-96.4667,15.7333
309,sakata,43.03,70,1,2.66,1740862140,JP,139.855,38.9167
310,kargasok,22.03,94,100,12.37,1740862141,RU,80.8572,59.0556
311,port-cartier,17.11,95,100,8.9,1740862141,CA,-66.8654,50.0334
312,hermanus,67.8,87,2,11.27,1740862141,ZA,19.2345,-34.4187
313,anzio,48.6,82,100,12.53,1740862141,IT,12.6179,41.4853
314,ugoofaaru,78.26,88,100,14.54,1740862141,MV,73.0,5.6667
315,tralee,41.72,91,60,3.02,1740862142,IE,-9.7026,52.2704
316,vila velha,84.15,70,40,8.05,1740862142,BR,-40.2925,-20.3297
317,babolsar,38.21,98,100,11.52,1740862142,IR,52.6576,36.7025
318,la'ie,82.13,75,0,10.0,1740862142,US,-157.9253,21.6477
319,kavaratti,82.9,73,94,12.39,1740862142,IN,72.642,10.5669
320,guigang,70.93,81,78,10.94,1740862143,CN,109.6092,23.0964
321,collie,55.18,92,0,6.78,1740862143,AU,116.15,-33.3667
322,zemio,83.07,27,47,3.47,1740862143,CF,25.1361,5.0314
323,santanyi,51.33,79,84,12.37,1740862144,ES,3.1291,39.3546
324,salekhard,0.99,97,100,7.94,1740862144,RU,66.6019,66.53
325,kegums,32.13,98,100,2.01,1740862144,LV,24.7244,56.7451
326,toliara,79.77,88,100,13.24,1740862144,MG,43.6667,-23.35
327,sandanski,50.29,84,81,2.33,1740862144,BG,23.2833,41.5667
328,torquay,38.17,82,45,8.46,1740862145,GB,-3.5143,50.4638
329,kolonia town,82.4,78,75,11.01,1740862145,FM,158.206,6.964
330,emporia,48.4,37,0,10.36,1740861919,US,-96.1817,38.4039
331,igarka,-29.7,94,57,6.02,1740862146,RU,86.5833,67.4667
332,san pedro,76.24,96,75,4.0,1740862146,PH,121.0167,14.35
333,fale old settlement,81.79,77,61,10.76,1740862146,TK,-171.2468,-9.3852
334,whistler,49.23,53,40,3.44,1740861900,CA,-122.9695,50.1164
335,gizo,81.39,78,99,1.9,1740862147,SB,156.8419,-8.103
336,merizo village,77.41,91,94,19.08,1740862147,GU,144.6691,13.2658
337,as samawah,54.79,29,0,8.08,1740862147,IQ,45.2944,31.332
338,arti,10.2,99,100,3.87,1740862148,RU,58.5328,56.4234
339,coxim,87.04,57,99,4.18,1740862148,BR,-54.76,-18.5067
340,siquirres,85.73,51,10,7.16,1740862148,CR,-83.5066,10.0975
