City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,kapuskasing,49.4169,-82.4331,-0.95,80,100,4.12,CA,1741120081
327,turan,16.0678,108.2208,24.99,94,0,0.51,VN,1741120093
328,sandnessjoen,66.0217,12.6316,1.06,86,100,3.6,NO,1741120094
329,hammerfest,70.6634,23.6821,-1.75,86,40,1.54,NO,1741120095
330,sulak,43.2734,47.5146,2.16,74,5,1.75,RU,1741120096
331,boise,43.6135,-116.2035,11.41,50,20,1.54,US,1741120075
332,bubaque,11.2833,-15.8333,23.43,73,75,10.49,GW,1741120099
333,north platte,41.1239,-100.7654,1.94,81,100,15.95,US,1741120100
334,banda aceh,5.5577,95.3222,26.34,82,93,2.38,ID,1741120101
335,buka,40.8108,69.1986,1.01,58,100,1.48,UZ,1741120102
336,tsiombe,-25.3,45.4833,23.77,92,99,1.19,MG,1741120103
337,puerto cabezas,14.0351,-83.3888,29.98,84,40,3.09,NI,1741120104
338,manacapuru,-3.2997,-60.6206,24.74,92,100,2.64,BR,1741120106
339,kurmuk,10.55,34.2833,29.45,18,54,1.29,SD,1741120107
340,fada,7.25,4.0667,27.07,75,100,2.76,NG,1741120108
341,shirgaon,19.7,72.7,24.81,48,0,6.2,IN,1741120110
342,porto novo,6.4965,2.6036,29.9,78,100,4.68,BJ,1741120111
343,tokonou,9.65,-9.7833,31.59,20,77,2.01,GN,1741120112
344,bundaberg,-24.85,152.35,19.86,94,2,3.02,AU,1741120113
345,coahuayana de hidalgo,18.7,-103.6583,31.43,44,0,3.94,MX,1741120114
346,shanhecun,44.7,127.2,-6.51,81,100,1.49,CN,1741120115
347,sao jose da coroa grande,-8.8978,-35.1478,27.45,69,26,4.36,BR,1741120116
348,zeya,53.75,127.2667,-22.49,94,19,1.99,RU,1741119866
349,alaghsas,17.0187,8.0168,26.94,9,89,6.94,NE,1741120119
350,vargashi,55.3556,65.8467,-11.44,95,99,3.9,RU,1741120120
351,surgut,61.25,73.4167,-6.9,63,0,2.0,RU,1741120121
352,mount pearl,47.5166,-52.7813,-5.48,63,75,8.23,CA,1741119898
353,otradnoye,59.7775,30.8181,1.1,87,86,4.75,RU,1741120123
354,amungan,15.3652,119.9582,26.39,74,100,1.32,PH,1741120124
355,aykhal,66.0,111.5,-37.44,97,5,1.99,RU,1741120125
356,ceeldheer,3.8488,47.1806,25.61,80,6,8.44,SO,1741120126
357,vychegodskiy,61.247,46.8984,-2.12,91,100,4.04,RU,1741120128
358,mount isa,-20.7333,139.5,21.87,60,0,1.54,AU,1741120129
359,oriximina,-1.7656,-55.8661,28.92,69,98,1.9,BR,1741120130
